BRD-A47494775,3105,DB00449
BRD-K30685142,5819,DB00451
BRD-A40639672,3826,DB00465
BRD-A31159102,3386,DB00472
BRD-A97730597,10770,DB00473
BRD-A84282119,5071,DB00478
BRD-A17883755,216326,DB00480
BRD-K02637541,2662,DB00482
BRD-K28307902,3397,DB00499
BRD-K18618618,2756,DB00501
BRD-K34157611,2756,DB00501
BRD-A42167015,2583,DB00521
BRD-A61793559,4170,DB00524
BRD-K04804440,2764,DB00537
BRD-K02265150,2170,DB00543
BRD-K24844714,3385,DB00544
BRD-K30697463,5311067,DB00547
BRD-A46179541,3156,DB00561
BRD-K21450440,2343,DB00562
BRD-K07220430,1547484,DB00568
BRD-K31682896,5328,DB00576
BRD-K06557128,71616,DB00582
BRD-A13188892,3157,DB00590
BRD-A99633051,3291,DB00593
BRD-A91699651,2719,DB00608
BRD-A26711594,4474,DB00622
BRD-K40758068,64139,DB00625
BRD-K21520694,5320,DB00634
BRD-K37249724,2247,DB00637
BRD-A16665823,47472,DB00639
BRD-A31204924,4211,DB00648
BRD-A00827783,3182,DB00651
BRD-A20119038,4032,DB00657
BRD-A94709349,15459,DB00660
BRD-K34415467,5577,DB00662
BRD-K23566484,4493,DB00665
BRD-K21548250,34633,DB00680
BRD-K34441861,91270,DB00691
BRD-K13356952,4100,DB00703
BRD-K02992638,60825,DB00709
BRD-K08681769,60852,DB00710
BRD-A86044036,3394,DB00712
BRD-K26657438,57469,DB00724
BRD-K21283037,5070,DB00740
BRD-A56359832,60490,DB00744
BRD-A16332958,4236,DB00745
BRD-A74667430,3308,DB00749
BRD-A30205217,3292,DB00754
BRD-K06926592,444795,DB00755
BRD-K37130586,5281071,DB00768
BRD-K37798499,36462,DB00773
BRD-K36862742,3647,DB00774
BRD-K04196797,34312,DB00776
BRD-K18910433,5757,DB00783
BRD-K32318651,2022,DB00787
BRD-K13238168,3561,DB00793
BRD-K32247306,4909,DB00794
BRD-K10670311,5359476,DB00795
BRD-A50684349,3341,DB00800
BRD-A95869247,3702,DB00808
BRD-A79672927,5593,DB00809
BRD-K10843433,4781,DB00812
BRD-A17411484,2581,DB00821
BRD-K32744045,3117,DB00822
BRD-K16508793,3016,DB00829
BRD-A18043272,6839,DB00832
BRD-K37270826,55245,DB00834
BRD-K32164935,5503,DB00839
BRD-K00824317,15209,DB00846
